Taxa	SY	DF	DM	BM
161	CDBN_167_UCD_0801	138.701299264238	-6.14756663987826	-5.46211404698425	-1483.46412276505
162	CDBN_168_Blush	575.963515714515	-8.1021503694025	-8.79395314277376	-1388.13500692711
163	CDBN_169_Hyden	729.437300185958	-7.12280706775378	-11.3764092982462	NA
164	CDBN_170_Cardinal	13.3142739749938	-6.17345893352569	-8.83052446690153	NA
165	CDBN_171_CELRK	601.114594523701	-8.69516403208141	-9.1947611948633	-460.97503952516
166	CDBN_172_Majesty	644.992177944823	-9.30608936934732	-8.21626802177478	-1571.3693342059
167	CDBN_173_ND060197	272.751040041413	-4.95719649694321	-5.04390416510513	-327.986437737631
168	CDBN_174_ND307	543.25306984177	-6.49624514037103	2.77581197357848	-1966.30247457566
169	CDBN_175_OAC_Seaforth	81.9607949462581	-7.52507752727206	-5.72132242405616	-543.484183304127
170	CDBN_176_Sapphire	816.849999446772	NA	2525.82658609939	NA
171	CDBN_177_Topaz	178.933734837499	-8.56567242398097	-9.78393502125196	NA
172	CDBN_178_Seahawk	-169.801046582479	-7.28055317715804	-3.78368907520456	-1011.39159377345
173	CDBN_179_Maverick	45.5151159608025	-0.528446716069929	-2.54048615164911	-719.365209720101
174	CDBN_180_Mayflower	794.671013267996	-7.15146812019969	-7.05720657231992	NA
175	CDBN_181_CO_11113	185.008704651773	-11.0826723289611	-7.5226274437954	-1266.70450013734
176	CDBN_182_CO_1760	190.213534911451	-8.92507702332108	-13.8766586240867	-1179.35951358255
177	CDBN_183_CO_27864	193.623225921608	-9.64005263267181	-9.6171209270832	-506.964381056044
178	CDBN_184_CO_33875	945.908273081229	-8.70432277332461	-3.09830936181564	-529.543242575486
179	CDBN_185_CO_91212_4	527.483253539442	-7.95529718115972	-5.95098772167546	-1360.16110395435
180	CDBN_186_53026	625.81334501513	-8.54129296385401	-8.43704932077546	-871.983384046081
181	CDBN_187_55063	472.315973497809	-9.48293193014905	-12.8687794032378	-1311.59234170215
182	CDBN_188_ISB_82_865	706.922447475464	-6.63722243384689	-8.73451107779184	-765.660951140562
183	CDBN_189_OAC_Lyrik	-115.451749607256	-6.18477097016046	-6.84399656431478	-632.313873977552
184	CDBN_192_Rojo_Chiquito	641.876282718131	-6.51187306537961	-7.75859038718147	-1212.99422146141
185	CDBN_193_Kodiak	32.0027894408438	-9.15651134917047	-5.36374039788425	-1017.99119823633
186	CDBN_194_Laker	510.244377462116	-7.66249412024115	-11.3526730055236	NA
187	CDBN_195_Lariat	129.792847947862	-7.43498846188428	-3.41776168441966	-2051.24205488322
188	CDBN_196_LeBaron	548.882951814012	-8.77996944442966	-6.71763106992937	NA
189	CDBN_197_Lightning	350.366494525547	-6.6344912403806	-8.59198438960662	889.735187995421
190	CDBN_198_Merlot	638.653351129664	-7.92612266727237	-9.66213255042097	-930.958460833228
191	CDBN_199_Montrose	497.76443824402	-4.86962933610778	1.34138222509507	-276.734771480128
192	CDBN_200_N05324	59.0582075366677	-10.5082692736443	-10.7932468013	-1155.99376438221
193	CDBN_201_Newport	904.543602524991	-5.51519160186457	-5.68040856446598	-1573.94371053585
194	CDBN_202_Nodak	NA	2285.26868614132	NA	NA
195	CDBN_203_OAC_Laser	485.705854170393	-7.61267792041528	-7.31947864616996	-1415.22650577027
196	CDBN_204_OAC_Rex	911.392121053625	-9.15169413167548	-5.55628604687553	-1235.32263411923
197	CDBN_206_Quincy	159.454026058618	-5.2946690164894	-6.25018669257622	-874.375756107901
198	CDBN_207_Raven	640.346814237186	-7.43923495206741	-9.95545259463358	-995.073940319658
199	CDBN_208_Roza	-125.25144986941	-8.35000604791681	-9.40758103777884	NA
200	CDBN_209_Sanilac	626.800986556815	-9.40142042890767	-12.805045803111	NA
201	CDBN_210_Santa_Fe	682.650298603171	-9.58092756328654	-6.93139314242532	-2080.82367283589
202	CDBN_211_Sawtooth	-115.800075399589	-6.47780223102039	-7.99622571918063	-539.727721389762
203	CDBN_212_Seabiskit	180.116153558601	-9.52968048678729	-17.2428896414856	-1513.24710928212
204	CDBN_213_Sedona	-114.851998219083	-7.7603204997764	-1.76252866036163	-2128.95525650766
205	CDBN_214_Sequoia	448.894249870379	-10.5783861298478	-15.1226944173666	-1474.92207632463
206	CDBN_215_Shania	516.398633463872	-5.84848379469309	-1.37684413610975	-1323.47712821499
207	CDBN_216_Shoshone	97.4566833695628	-6.77345141762742	-8.66453835195392	-1708.60630498463
208	CDBN_217_Stampede	192.970164448342	-6.3735683465809	-7.02507451570111	-963.420894861284
209	CDBN_218_UCD_9634	225.588251215033	-6.32603112034202	-4.97361162835291	-517.999568182359
210	CDBN_219_UI111	454.33894815346	-3.75857086745804	-6.15091422943317	NA
211	CDBN_220_UI126	224.208210815166	-8.17250353968967	-5.2408579478413	-1188.16900627488
212	CDBN_221_UI196	78.5985728161489	-6.94914051128522	-5.77537158429096	NA
213	CDBN_222_UI425	462.345756945442	-4.52760870865912	-12.0331335669142	NA
214	CDBN_223_USPT_ANT_1	-428.800034790053	-6.8269791305481	-10.0015058784646	-247.703797975047
215	CDBN_224_USPT_CBB_1	135.12808571005	-8.03279617441552	-14.4460309689993	-1282.16701089021
216	CDBN_225_USRM_20	-52.1171127042045	-6.72903845926236	-0.941798197754976	-527.528437690854
217	CDBN_226_USWA_12	484.748500430404	-6.74862188612589	-10.1180570822745	-902.855248885399
218	CDBN_227_Victor	358.787408661448	-10.7166261935171	-14.615236458498	NA
219	CDBN_228_Zorro	613.874823438519	-7.80899275869649	-4.3872315478658	-1096.69514521915
220	CDBN_229_6R_42	271.031208582236	-10.1814246018129	-8.37587703205509	NA
221	CDBN_230_Ivory	527.776231800292	-9.59184393850301	-11.178465546996	NA
222	CDBN_231_JM126	330.952739466624	-10.1855682408627	-15.8611186129075	NA
223	CDBN_232_OAC_Gryphon	208.10103935503	-6.96069474859103	-3.58926058461597	NA
224	CDBN_233_Star	-110723.271374621	NA	NA	NA
225	CDBN_234_UC_BTS_96114	-209.962967117341	-11.7974996480786	-11.5490944001178	NA
226	CDBN_235_UCD_9623	391.923054238401	-6.53734255342225	-7.89427031467387	-1165.04927207623
227	CDBN_236_Rosetta	198.491199995945	-7.31056025475734	-4.78354983790287	-1679.82187815343
228	CDBN_237_Longs_Peak	24.8701155229779	-10.1176908420729	-6.3354472443559	-824.566693842216
229	CDBN_238_Midnight	103.039430270213	-8.9159686780759	-12.7750622538106	NA
230	CDBN_239_Arthur	156.402326584469	-11.7424212522906	-9.56311497279034	NA
231	CDBN_240_Norstar	648.434611227132	-7.07941589809415	-6.74148753992347	NA
232	CDBN_241_AC_Ole	410.848447431687	-10.3144259853508	-12.7790741435932	-1338.82917620905
233	CDBN_242_AC_Pintoba	62.9555854483032	-11.2808578991406	-10.2407273844189	-840.311579414018
234	CDBN_243_Apache	19.7331607376894	-6.86710876975803	-10.3653251824366	-611.13089759684
235	CDBN_244_Bandit	-96.2111352936549	-0.371935522781811	-1.71497412627149	-1706.76475869232
236	CDBN_245_Bighorn	298.007967768762	-1.58156219995802	2.08151216865006	-1362.18329785744
237	CDBN_246_Blackhawk	-202.471746920236	-12.4634484516108	-17.3852272300714	-992.185289298384
238	CDBN_247_CDC_Crocus	-51.6621373135378	-8.2243896191274	-4.94465070861037	NA
239	CDBN_248_CDC_Expression	4.90938456349736	-7.34311138088141	-8.42024936855752	-109.786363529925
240	CDBN_249_CDC_Pinnacle	-27.1629357917635	-10.1421037792341	-10.9094315423051	-1020.12866231787
241	CDBN_250_CDC_Pintium	418.921504792532	-6.50653724701034	-9.73176645084416	-1148.72278105777
242	CDBN_251_CDC_Rosalee	333.309111431189	-5.06759337406713	-4.52332007378943	-1786.84830698785
243	CDBN_252_Condor	843.783251148219	-7.50341802137292	-9.58580686436599	75.6532339278696
244	CDBN_253_Coyne	439.88044666977	-8.91560172256259	-11.7883470164985	-452.703976811376
245	CDBN_254_Croissant	868.396288958857	-8.90251135815197	-1.27566682678518	NA
246	CDBN_255_Eclipse	390.303432248453	-2.90968978746762	-1.83612428288022	-728.991274339317
247	CDBN_257_Envoy	-140.323173492253	-8.35238515914125	-7.23939404893486	-967.098757558431
248	CDBN_258_Fiesta	556.454735513685	-2.74780143790499	-2.32964086234992	NA
249	CDBN_259_Frontier	482.196463055322	-8.43417764513208	-8.97966684775597	NA
250	CDBN_260_Gala	527.192416236698	-9.92837642529273	-8.39785340025479	NA
251	CDBN_261_GN9_1	-90.4596022223812	-10.272544124482	-10.3759443178622	-1813.75657497939
252	CDBN_262_GN9_4	267.92085989802	-7.29499071344913	-5.41273315466654	-998.311355542064
253	CDBN_263_Grand_Mesa	359.945822056455	-5.85099472831972	-5.73099072304026	NA
254	CDBN_264_Harold	354.332304480914	-7.00843134062907	-8.03050859189361	NA
255	CDBN_265_Hatton	491.712046935862	NA	NA	-927.398375627438
256	CDBN_266_Holberg	414.065871984834	-3.67558734659357	-4.60024346919029	NA
257	CDBN_267_Huron	-60.2054761584606	-10.6027141421366	-10.1631648048957	-1367.61901616044
258	CDBN_268_ICB_10	-25.965028804508	-8.52356514132368	-4.67755948289992	-2210.00962223799
259	CDBN_269_IP08_2	727.520806079307	-9.54389446076656	-8.5642053633959	-1582.11165825754
260	CDBN_270_Jackpot	153.68479175677	-4.88789710813804	-2.44509639450877	NA
261	CDBN_271_Jaguar	196.910161379508	-9.5783579540717	-7.37979875063833	-662.365811446902
262	CDBN_272_Kimberly	748.431381963517	-8.78469248495256	-11.1102548435124	758.180663954589
263	CDBN_273_Vista	168.67302186459	-8.36146763285246	-14.3696993970245	-1283.63669796884
264	CDBN_274_Viva	566.451608427847	-7.76372296502474	-7.12774174645666	-1102.601580289
265	CDBN_275_Burke	19.9773883800918	-3.1972916172833	-0.980739544807976	-1758.3452139976
266	CDBN_276_JM24	597.50522987847	-7.01590435550328	-8.15249771959009	228689.497358487
267	CDBN_277_AC_Mast	419.227770999934	-7.08430909470774	-6.38427449469065	-775.964325481936
268	CDBN_278_Chinook2000	234.514685103407	-5.64411680086613	-0.83146297371102	NA
269	CDBN_279_Cran09	603.154992602686	-5.84298934129944	-6.2154153889367	NA
270	CDBN_280_K407	194.067242681915	-5.30076304753569	-9.17516632361771	-1107.39323325525
271	CDBN_281_K59	347.026923533736	-3.16778259348369	-4.32407635825593	-1012.81298105178
272	CDBN_282_Kamiakin	150.497771071703	-5.48503074441399	-5.72001738015933	NA
273	CDBN_283_Kardinal	-77.6762802546635	-11.4637900118972	-9.69869510204218	NA
274	CDBN_284_Lassen	397.002463170281	-7.14378009450672	-11.2461369817551	-1397.2016149302
275	CDBN_285_Montcalm	927.755254451062	-5.59440443797139	-6.84744758928291	-844.47573041126
276	CDBN_286_CDRK82	156.882288770859	-11.1182916998762	-14.867151511221	-50.8817340857901
277	CDBN_287_Centralia	475.83846957572	-5.12540456407915	-5.7093931361487	-973.215878456557
278	CDBN_288_Cygnus	614.950532081938	-7.1434331538741	-9.5463380495776	-491.116009428582
279	CDBN_289_Harowood	536.909911469909	-8.26602478631249	-4.38091720620566	-986.223971182674
280	CDBN_290_UI259	435.128250321647	NA	-6.60090319755301	-1620.88604667255
281	CDBN_291_UI722	491.752791810287	-10.321281159915	-14.7275126265183	-1699.78586281909
282	CDBN_292_White_Kidney	719.329556479461	-8.70402258974609	-11.0944909788749	NA
283	CDBN_293_AC_Compass	87.9927788625696	-7.36638859106523	-6.53982655680187	-946.873035002453
284	CDBN_294_Arapaho	353.81771592274	-8.63123905844197	-12.238843821527	-1697.3372502792
285	CDBN_295_Avalanche	-8.37950129873224	-6.104813276003	-11.9274093997552	-1571.81780213584
286	CDBN_296_Aztec	816.948669536221	-6.34792840233682	-12.8812891357707	-1334.34768145491
287	CDBN_297_Beryl	487.878716560266	-6.8801550043846	-8.46227310447082	-737.115465741043
288	CDBN_298_BillZ	277.920886492482	-3.2068210333067	-8.80575075585356	-725.058656009589
289	CDBN_299_Buster	364.876176532604	-8.49814476499633	-13.0570868464509	-870.2255692785
290	CDBN_300_Chase	836.406375716704	-7.66151442122496	-11.266459674169	859.468311576913
291	CDBN_301_Crestwood	781.596136900123	-9.55031490233208	-15.4743360196489	-1964.71047323177
292	CDBN_302_Desert_Rose	245.803963991573	-5.46183962604226	2.45135466578396	-532.123229618301
293	CDBN_303_Mackinac	344.531716841392	-8.1523561980981	-2.65058164492949	-745.227278378963
294	CDBN_304_Matterhorn	685.420094551396	-8.84758419029111	-11.933463478659	-2400.02158952526
295	CDBN_305_Max	NA	NA	NA	-1740.60942411549
296	CDBN_306_Olathe	93.6093099988803	-2.70560310161669	-7.37593241019863	-2621.81520645916
297	CDBN_307_Shiny_Crow	200.501145387138	-11.3166166436006	-11.1545641916793	-1305.70588818126
298	CDBN_308_Sierra	547.792761267245	-9.93537071894674	-9.24284678808763	NA
299	CDBN_309_Starlight	550.712133063613	NA	NA	-2361.94930231853
300	CDBN_310_T_39	309.209605146998	-6.38604845925381	-0.494160285495955	-1002.59003008765
301	CDBN_311_UI114	562.423758681985	-11.6015155941074	-14.7720088895214	-755.705536738829
