Taxa	SY	DF	DM	BM
1	CDBN_001_1543	408.510961169747	-7.25440134569523	-8.57073612650431	-146.016033948543
2	CDBN_002_2242	388.374428536292	-2.63196230285521	-2.66264026255483	-935.194362523738
3	CDBN_003_5229	232.205851416111	NA	-6.96850937975624	NA
4	CDBN_004_5501	469.138907301168	-10.611168508168	-12.7358956208482	NA
5	CDBN_005_54028	628.311788023929	-4.05283300493477	-3.5328240374968	-896.093936218243
6	CDBN_006_55012	318.10339083522	-3.07082113254712	-3.1947464648969	-930.324592262587
7	CDBN_007_88728	412.042071313776	-7.92491237831453	-6.07862349059393	-463.083217289092
8	CDBN_008_87_1116	579.565778789545	-5.76383989521305	-9.30605973340631	-1084.47095495422
9	CDBN_009_88_409	681.908951211671	-5.93821567055573	-6.39292848564381	-1133.03173472426
10	CDBN_010_93_207G	400.627913918996	-5.85951589027137	-6.4896838182144	-128.299588240539
11	CDBN_011_93_208G	-293.742101464961	-7.15379209842035	-11.923384979125	NA
12	CDBN_012_93_219P	350.44596532062	-6.96057541911742	-6.00659592971781	-214.250296953747
13	CDBN_013_94_1009P	192.107177101608	-8.14871823066824	-11.3392242495619	-801.729975735025
14	CDBN_014_97_409P	372.845126077261	-9.49232057850194	-8.07279757800092	358.939442098878
15	CDBN_015_98_163G	371.241066279088	-8.98730145076345	-17.7158217232132	NA
16	CDBN_016_98_209G	232.466139714083	-6.73355737427114	-6.04737044617595	NA
17	CDBN_017_CO_64342	386.607010317846	-6.16146443799112	-4.81699944771854	-1290.34573131958
18	CDBN_019_CPC_00153	-87.6690119552572	-8.00324729385696	-4.34026653517663	-2766.36830472458
19	CDBN_020_CPC_00247	92.305677136383	-8.08931884323663	-4.25211097819447	-358.333829841783
20	CDBN_021_CPC_00250	560.101080810425	-8.20931639520693	-7.6587111542267	NA
21	CDBN_022_Cran34	637.279167889228	-6.26407112888517	-7.49513593982031	NA
22	CDBN_023_CU_M90	620.916294801782	-3.62930331940238	-4.60435231772049	NA
23	CDBN_024_Elizabeth	-19.0230813921197	-6.9971351779639	-2.77946135207835	NA
24	CDBN_025_Flamingo	48.7408874991571	-6.17639484571011	-8.0379479379985	-1045.3201755315
25	CDBN_026_Frigate	-353.379020240417	-9.13613741872068	-12.4168618716519	NA
26	CDBN_027_H9659_41_3	117.58337018505	-3.65164516490228	-7.02958030949308	NA
27	CDBN_028_H9673_87	189.498428575991	-8.36000187857841	-2.57606673801897	-1575.80204795595
28	CDBN_030_IS_4905_B	763.670617801835	-6.71828210343259	-6.987941415689	-242.188650939848
29	CDBN_031_IS_4907_Ba	148.51943648376	-6.44911387440435	-10.1574425480298	-1061.46612415239
30	CDBN_032_IS_4914_B	124.958898803638	-7.32029627342509	-10.2477151297285	-669.872847912922
31	CDBN_033_IS_4923_B	577.445399684872	-3.04924437981762	-3.83059530912485	NA
32	CDBN_034_IS_4924_B	503.707920978384	-8.17790764371669	-11.7670994223668	-1000.50419568226
33	CDBN_035_ISB_1145	-188.112921211934	-9.59224681514367	-3.88870823807072	-1807.42855320058
34	CDBN_036_ISB_1252	329.442414096627	-11.0704760389449	-9.68791520668552	-1148.48227753273
35	CDBN_037_ISB_1256	426.949706662268	-7.79149160120416	-3.74086971240203	-791.366879722526
36	CDBN_038_ISB_1614	74.8793184321378	-9.31634387162574	-10.6160272214638	-200.510764682308
37	CDBN_039_ISB_1814	721.329735847482	-7.00373530098713	-6.74084935986016	-641.860541571932
38	CDBN_040_ISB_2001	272.338683638683	NA	-12.2819305719395	-1251.56609955305
39	CDBN_041_ISB_23	558.163328853366	-9.15796791841439	-9.2416306487207	-216.673828775079
40	CDBN_042_ISB_254_1	793.789982562877	-10.1826720272683	-14.0940769441719	-644.466367935729
41	CDBN_043_ISB_254_4	282.704682054883	-3.67833173372168	-8.56171446915363	-1446.93822121843
42	CDBN_044_ISB_2598	467.2807986695	-8.65787594697439	-13.1686570087504	-757.335050262428
43	CDBN_045_ISB_486	223.969632050382	-1.05756975290456	-3.8022188722747	-1104.27363035416
44	CDBN_046_ISB_5172	890.207969336503	-8.55472105138752	-9.37989875265288	NA
45	CDBN_047_ISB_565	193.302770330992	-3.70630770160463	-7.03641492797054	NA
46	CDBN_048_ISB_5893	223.07117189281	-7.00293383758282	-2.69548430347943	NA
47	CDBN_049_UNS_117	-46.4483061907381	-5.43101903246291	-5.19060159373331	-853.619657879443
48	CDBN_050_Aurora	411.419170955709	-2.10301531561361	-4.82061095473607	-1042.09530661949
49	CDBN_051_AC_Calmont	338.694435088497	-4.01055090009422	-3.13444323203543	NA
50	CDBN_052_Canario707	448.223861226358	-6.85649010279663	-8.97965719519095	-1820.54189145223
51	CDBN_053_UI320	245.135390276787	-1.50603824349625	-2.30040679971643	-1717.66014579029
52	CDBN_055_IP09_3	195.213056046149	-6.05491460338608	-5.20091407138251	-1154.25303462287
53	CDBN_056_Jet_Black	1025.69101369735	-4.94766742823036	-2.85867165480324	-440.000907551982
54	CDBN_057_Linden	-25.6007325940275	-8.27450065692155	-3.91721597635948	NA
55	CDBN_058_Rio_Rojo	238.462216345944	-5.7051643510701	-6.31474306868314	-1070.04207798065
56	CDBN_059_SF103_8	740.441434762075	-7.82035321266786	-10.8990178156858	-1117.18408437334
57	CDBN_060_Talon	71.2013131823171	-11.5158098810671	-10.4890522500185	-1658.1152122128
58	CDBN_061_Yeti	475.963306315915	-4.73347093063542	-1.70375988738029	-890.69234613876
59	CDBN_062_Fathom	371.523375755912	-7.1348194712542	-11.0973626074247	-547.476849331299
60	CDBN_063_OAC_Inferno	613.732013617156	-8.35532007320809	-8.84869411700907	-404.851663235309
61	CDBN_064_Rexeter	223.51160321667	-7.31720414957102	-5.43881787582206	106.980595483457
62	CDBN_065_UI465	243.028327067329	-6.52885579418347	-4.87156565602322	-1890.44982599729
63	CDBN_066_Bellagio	224.168156675614	-6.52257312987232	-7.50927840959919	-153.631347568318
64	CDBN_067_ElDorado	439.903749674879	-2.35145646531854	-2.80841828303532	-902.174028986225
65	CDBN_068_Gypsy_Rose	429.119146528057	-8.45125970259543	-9.78927490753586	-768.84370786777
66	CDBN_069_Powderhorn	562.357024185611	-9.05805211722365	-13.7051063275593	-315.178699233944
67	CDBN_070_R12859	135.36033964283	-6.27639742751812	-5.62094630619565	-721.745929704661
68	CDBN_071_Snowdon	669.662738305371	-5.51151302355808	-8.77648953441494	-1591.5389144728
69	CDBN_072_ISB_672	371.734259711271	-12.0270693344472	-16.0070819476088	51.2815143546889
70	CDBN_073_ISB_721	340.225860824334	-8.26206213080635	-13.962884382282	-1141.82995635183
71	CDBN_074_ISB_782	459.163767412904	-3.99045271557696	-6.80477107960159	-694.171820101751
72	CDBN_075_ISB_782_1	504.173148741137	-8.4012367962884	-7.12272950459824	-499.681941317896
73	CDBN_076_LB_4813_B	221.779555310871	-7.73733648882435	-11.5258900130811	-1218.50029338947
74	CDBN_077_LB_4815_B	494.198885303821	-8.29117980183442	-6.97944141130567	-1655.09413758166
75	CDBN_078_Mogul	450.71902886861	-11.063568606404	-15.7097514735681	-1837.83608475074
76	CDBN_079_Nichols	40.3129704247547	-4.00410583651321	-3.49899321632525	NA
77	CDBN_080_Panther	243.03310070973	-8.10174273627894	-10.1341938283231	-1656.93538984886
78	CDBN_081_Sprint	699.328606097507	-4.30960487828515	-7.47405458350485	-1504.20114125499
79	CDBN_082_UIP7_24P_1P	673.127478002346	-9.04518178260806	-14.2954355822928	-1250.85982828882
80	CDBN_083_USPT_11_9	-23.1129503313914	-6.11870321474284	-7.09545142317173	-917.986936548509
81	CDBN_084_USPT_7_3	648.363086080489	NA	-6.50843470447411	NA
82	CDBN_085_USPT_9_18	186.223492429975	-8.19824346765761	-6.57606614266488	-1427.21926814141
83	CDBN_086_USWA_11	372.876166766776	-10.8649115919532	-17.2352624387913	-2108.75865971611
84	CDBN_087_USWA_70	311.281389304996	-12.1491625963016	-12.6078745416932	NA
85	CDBN_088_USWA_75	505.95988755822	-7.44393987905914	-6.0465703022865	NA
86	CDBN_089_Claret	183.582251915881	-8.45286997476095	-9.56388368043525	NA
87	CDBN_090_Redkloud	436.265288510459	-5.91905801410913	-8.05161161675184	-3355.32002968379
88	CDBN_091_1062_V98	384.897772641689	-9.87807204079169	-10.9865127424632	-1274.61640512495
89	CDBN_092_1132_V96	18.3540339555581	-8.94282649700711	-13.2489991359919	-1126.53183261
90	CDBN_093_Isles	548.757359217123	-6.2491445549092	-10.7570944232089	-1698.13731436192
91	CDBN_094_UCD_9830	358.521760534423	-8.76439376900819	-6.58762358636321	-1047.80938292627
92	CDBN_095_Othello	597.049093157821	-10.4411577113696	-13.308394551196	-588.861111126598
93	CDBN_096_Hungerford	991.215761577612	-7.62254962999946	-1.21168147300798	7.85801232333859
94	CDBN_097_Gryphon	276.960055649755	-7.11395269318574	-5.73813596844782	NA
95	CDBN_098_OAC_Thunder	-64.0551972380679	-9.73298373450448	-7.08421240712892	-1447.91912012421
96	CDBN_099_4533	11.8524081405603	-9.99568643984801	-4.77544602578784	NA
97	CDBN_100_6123	220.235121651163	-6.83316138123684	-13.9521828197548	NA
98	CDBN_101_79146	91.8929645885575	-6.8120994075786	-11.5792226718549	NA
99	CDBN_102_83B16	286.990249417027	-6.8076274496263	-5.1151202115482	NA
100	CDBN_103_CO_12601	311.613533636791	-2.54769917267106	-1.3242098662198	NA
101	CDBN_104_D76125	559.245677763874	-9.15091482160387	-9.33786225256944	NA
102	CDBN_105_D77135B	199.029817190896	-5.01196218192365	-5.99482399648886	NA
103	CDBN_106_D77196	-70.3208580406055	-5.37520516309054	3.15533449016183	NA
104	CDBN_107_D79054	-63.7770153345685	-8.81858164344421	-3.01865263836613	NA
105	CDBN_108_GH760	435.983166894703	-6.72250124634199	-9.63980443219696	NA
106	CDBN_109_ISB_1	449.29401000549	-5.4343185918667	-5.5727693841569	NA
107	CDBN_110_ISB_459	302.968291213439	-6.59205218288295	-1.4564713418997	NA
108	CDBN_111_ISB_730	112.167165822766	-6.16063394633484	-3.53421612319037	NA
109	CDBN_112_MRK44	483.016150121139	-6.57110357369628	-7.65673142625982	-1544.66668874177
110	CDBN_113_N81017	855.295977085083	-7.79469451966342	-11.6616491108142	NA
111	CDBN_115_AC_Skipper	263.84762128679	-4.51898096680576	-9.99767989189169	-1616.93652854439
112	CDBN_116_AC_Trident	-63.9658399215596	-6.34646582865768	-9.65737703962565	-933.586846383616
113	CDBN_117_Agate	654.035104016916	-9.92135388261718	-12.1190225769421	NA
114	CDBN_118_Amber	777.829466453384	-3.3740788055975	-4.46868561076303	NA
115	CDBN_120_CO_33142	409.197028352731	-3.49350694146776	-6.58449838819577	-961.039299829663
116	CDBN_121_Comet	-35.7148685693865	-12.3042067762154	-15.4685842286364	NA
117	CDBN_122_Ebony	79.1819541950202	-1.45068190673997	-5.38778131669437	NA
118	CDBN_123_Fiero	275.812459004811	-7.45920294780237	-8.99236994405518	-1737.70963538751
119	CDBN_124_Fleetside	552.900446674182	-5.74878603454444	-6.78333941943402	-553.653999772127
120	CDBN_125_H9659_21_1	382.584646513059	-6.03335791355978	-8.93022794731373	NA
121	CDBN_126_H9659_23_1	587.615185421104	-4.96012682071638	-5.25852447643445	NA
122	CDBN_127_H9659_37_2	163.6267592749	-0.768712203724257	-7.35576353986176	-1968.54449470171
123	CDBN_128_L94C356	-51.7991272469387	-9.41392485816051	-7.74021904907872	-665.024580794469
124	CDBN_129_L95F025	379.177200492853	-6.53664211792365	-5.44990960371535	NA
125	CDBN_130_Monument	674.819927990791	-8.2214209301108	-10.5768984098112	NA
126	CDBN_131_Opal	588.488150002366	-3.53590464667686	-8.94956303606343	NA
127	CDBN_132_Pulsar	506.633797152685	-5.45079684486232	-9.90440443417685	NA
128	CDBN_133_RS101	540.952382207635	-8.69474755727121	-8.827257124662	-2090.38623876379
129	CDBN_134_Shetland	-434.54740351349	-11.0195157927946	-8.1238358491214	-1539.70934107943
130	CDBN_135_Spinel	197.929773502939	-6.4310222221053	-9.75227775226558	NA
131	CDBN_136_UI137	401.00755010167	-4.62506773840677	-5.7221719028436	-1003.27597211345
132	CDBN_137_UI36	532.095544913638	-8.3785111674403	-10.6446303191647	NA
133	CDBN_138_USBK_CBB_5	328.228882284173	-7.08634442251296	-6.42446666571087	-1086.30073270066
134	CDBN_139_USPK_7_4	425.227486238096	-6.19486937686049	-6.42658175388154	-1757.80971179425
135	CDBN_141_USPT_8_15	766.11982432645	-6.68828553005686	-8.70721072329868	-35.8263114592056
136	CDBN_142_USPT_8_6	408.680378123362	-7.32289738087443	-7.632599246872	-1002.84300156025
137	CDBN_143_USPT_9_6	84.3673828394871	-6.93969848278605	-6.61564295332271	188.367865974946
138	CDBN_144_USWA_20	45.0996727561356	-6.28906755696679	-6.75795156219593	-2168.86171826551
139	CDBN_145_C_20	-35.7835471459945	-7.44710626258098	-8.56054274404954	NA
140	CDBN_146_Fleetwood	80.6949702560577	-6.71367741633293	-3.8697736029955	-1011.57997922338
141	CDBN_147_USWA_50	600.541043965987	-10.170117822319	-10.574283901154	NA
142	CDBN_148_Valley	368.14496443459	-7.08637311667702	-8.00892555544946	NA
143	CDBN_149_WYO166	424.829259280394	-7.54137846462412	-11.7575423479597	NA
144	CDBN_150_WYO167	512.654817274313	-6.83047498324654	-6.58638967261964	NA
145	CDBN_151_Zircon	302.742660241188	-7.34607849401181	-7.46526111295727	NA
146	CDBN_152_Isabella	407.503969824359	-8.83006754457738	-10.434457709231	NA
147	CDBN_153_Sacramento	409.56429079595	-6.67376917702452	-9.86974467122848	-2646.17516396439
148	CDBN_154_AC_Elk	521.516381710305	-8.79839610915268	-12.8524999585912	-587.686390510177
149	CDBN_155_Alpine	366.550523734852	-4.89634323529544	-7.07063882139288	-1504.04946203611
150	CDBN_156_K42	369.670670040928	-8.11950204908548	-11.24129532988	NA
151	CDBN_157_Lisa	434.170080119491	-8.71882529606098	-10.5828472462532	-1586.62013540003
152	CDBN_158_SilverCloud	152.018379852815	-6.65353517779743	-4.3347414545224	-71.402476882204
153	CDBN_159_Beluga	450.422536054257	-5.75976854768462	-8.74268074799544	NA
154	CDBN_160_NY_105	264.448866654215	-5.55835310617305	-9.05752069900905	-951.187798051354
155	CDBN_161_Rosie	550.321208054269	-8.09962094918409	-7.6187324043375	-1190.75067275939
156	CDBN_162_RoyalRed	158.845603991435	-5.34525300477588	-4.37079380526517	NA
157	CDBN_163_Capri	-10.8184418338378	-7.64919415444191	-3.42688151446443	-1183.19667368049
158	CDBN_164_Hooter	422.046008586609	-8.06387201310745	-12.4416517400166	-724.024795246508
159	CDBN_165_Redhawk	449.739541693121	-8.51409339158372	-8.88237848952224	-1139.76637047237
160	CDBN_166_RedKanner	712.895520925787	-5.26316217335837	-7.26865990259348	NA
