taxa,PC1,PC2,PC3,PC4,PC5,PC6,PC7
CDBN_001_1543,-40.7817938031661,-204.576603131045,-95.0892705958197,-8.87905594179884,93.3631119200873,-79.4503531116753,44.5403813121907
CDBN_002_2242,548.129458798701,20.9712734758506,-3.82953414221183,3.07060749047015,-30.3222097600716,-2.66370309299193,29.191888447636
CDBN_003_5229,-185.652265576499,139.281922000396,-212.825207511571,65.1480190025179,-8.04833344180926,-72.8540698006426,0.0206704382205796
CDBN_004_5501,-106.0542861825,117.537035880217,-152.220158820979,18.9136389164087,88.8357632816316,-23.9122511279119,-75.2266867762019
CDBN_005_54028,-233.92563288505,242.142291885263,132.742952282135,121.140416362097,0.930276374443186,26.6286471320855,-104.467164452944
CDBN_006_55012,-238.361640723531,-66.2274515734981,-69.1435882454082,158.631769880341,-108.263362537359,84.8105251064881,-113.192880746705
CDBN_007_88728,522.648274922752,1.33762859714211,89.2487797843361,18.5591371421634,84.3498734079977,-9.6718226453459,-59.6138955254569
CDBN_008_87_1116,-225.196957986295,232.253937465996,-68.0247152272829,100.030729452159,45.3906332172175,-37.6381415102281,-103.637436138504
CDBN_009_88_409,-99.1698647089859,-94.411231544868,-94.899309982707,42.6639465803847,45.0080050661007,12.2794566144857,-57.8384949403333
CDBN_010_93_207G,-132.134475862194,-4.21472811020903,-64.539129639085,98.8894592660324,26.6653410780861,228.074099598292,7.33682137402987
CDBN_011_93_208G,-150.345410444378,-18.5952363239664,-196.130919294006,99.0121525087221,85.9669803337914,204.265669135978,58.6519389403435
CDBN_012_93_219P,-61.1393655283614,1.88934654007112,-154.973217269072,56.3251055779084,90.9844482905253,133.499510467521,52.3553678767169
CDBN_013_94_1009P,-68.2526884928681,189.918462441544,-29.7371887319291,54.3266752493777,84.9068197001413,45.9759898561329,-26.6669761544119
CDBN_014_97_409P,-213.461191814886,284.61533088511,-140.373245800384,78.8108825266181,121.683319178961,52.6586982650012,51.4538268559776
CDBN_015_98_163G,-120.243790458837,-22.203208098779,-175.556936885307,107.142182187918,88.3705196896384,162.14709272742,29.8561752812145
CDBN_016_98_209G,-191.467874519078,170.990877744826,-184.686527858299,34.1196423070067,80.4438366072213,-35.9277165807466,-79.013674165234
CDBN_017_CO_64342,-233.490353950815,191.152633372377,-203.754821929493,60.3370668844431,-41.0204357228085,-63.1647248093334,19.5938733952584
CDBN_019_CPC_00153,744.639975996805,17.1367776900089,130.038119081544,50.5962611422933,-23.6176011450906,21.6873610071133,-74.49402676072
CDBN_020_CPC_00247,689.209706320123,9.93323262268106,-18.1671837345609,-26.5904755174802,31.9451168350822,3.62791076396234,-21.0321424055059
CDBN_021_CPC_00250,656.835200324681,0.678281017485121,-15.997041297906,-55.4860995465653,30.2622704732119,3.9922306704236,-56.6420180915112
CDBN_022_Cran34,636.820328275003,-2.16965049914152,3.73765939744437,-20.3231830509406,24.6259563229148,-14.1263115283978,-72.9245371579482
CDBN_023_CU_M90,-170.240915785318,-271.272967986897,-46.0962610437288,-5.69004172285755,69.9647863254695,-144.741707321301,131.886387520249
CDBN_024_Elizabeth,-218.471609247025,297.413540679459,-105.538114582034,82.2278778114227,113.746701580375,26.2959493548302,20.1375775545805
CDBN_025_Flamingo,-135.579795473738,152.948808766026,-91.7102705626662,53.5608239987364,-49.8370309153721,-50.9914940818293,-36.7889551266494
CDBN_026_Frigate,-46.5973963011886,-216.923990778178,-65.493571762908,71.5803599409836,40.3659772923061,-61.9531198297575,-40.8534640619099
CDBN_027_H9659_41_3,715.564144769844,16.3084704937681,-4.27514330237159,-23.5515020050926,39.3307277411534,5.87012816696253,-14.1356750680444
CDBN_028_H9673_87,-239.488515188392,-241.261179225206,218.570139959619,82.9153020893283,-85.8039532050095,18.0688011150513,5.15149368435692
CDBN_030_IS_4905_B,-156.157405806848,-122.684692755748,-148.15223295747,129.903990892044,39.4304213832463,-72.3229570257985,-83.7556254780059
CDBN_031_IS_4907_Ba,699.257121022731,9.28658465084702,-6.96465893162578,-13.1029702296728,37.8813583183046,-6.71644367147439,-35.8592016983987
CDBN_032_IS_4914_B,-225.818753799223,49.122282596528,-138.491167641144,65.8749475464824,51.7035281934775,-160.863309382207,75.2604037241951
CDBN_033_IS_4923_B,-233.312606648452,-261.649081595985,-137.698573381853,109.266486297949,0.839972610664165,115.493035796799,-80.516059104224
CDBN_034_IS_4924_B,-112.054660820586,-248.541784046442,-66.3093497813652,4.54793945388906,15.1449376364455,-30.0589346334718,12.399964435562
CDBN_035_ISB_1145,-197.291495064196,128.596944948221,-208.039579503576,68.0095255699787,-13.0806499630917,-117.663750637605,-2.65689502106359
CDBN_036_ISB_1252,-72.0149024138415,-238.905697939009,-157.695089126485,21.4370881170758,78.396810068212,-65.924675786547,15.8300175119963
CDBN_037_ISB_1256,-173.475443150644,-294.236807307565,-23.8412653411809,83.7512496191762,-17.5983661959926,-59.4879080799098,-29.0262442197765
CDBN_038_ISB_1614,-43.6210621098966,-224.595762782521,-117.489278394792,112.640375631536,-35.6839341625116,-82.9796174039716,29.1004883045693
