Taxa	SY	DF	DM	BM	HI	PH	SF	SW	LG
1	CDBN_001_1543	408.510961169747	-7.25440134569523	-8.57073612650431	-146.016033948543	18.7856332874582	0.0409255430290669	-1.68247907122855	5.81154178578411	0.172789607975671
2	CDBN_002_2242	388.374428536292	-2.63196230285521	-2.66264026255483	-935.194362523738	17.2599578772326	1.98346681532457	-0.257988542008239	47.2409573680233	0.174880289791695
3	CDBN_003_5229	232.205851416111	NA	-6.96850937975624	NA	10.574829567954	-3.1087439834523	NA	143.444138996155	NA
4	CDBN_004_5501	469.138907301168	-10.611168508168	-12.7358956208482	NA	4.48939459185253	-3.96211650672528	-2.17688114523257	162.543928112603	-0.768408274806229
5	CDBN_005_54028	628.311788023929	-4.05283300493477	-3.5328240374968	-896.093936218243	16.0546683987091	-4.4800704620737	0.566828100031057	30.6565073160067	0.349411887953015
6	CDBN_006_55012	318.10339083522	-3.07082113254712	-3.1947464648969	-930.324592262587	14.0524202130663	NA	0.865327118485706	134.713024560173	0.709343858233893
7	CDBN_007_88728	412.042071313776	-7.92491237831453	-6.07862349059393	-463.083217289092	19.3196931918041	NA	1.55947168181968	193.900880234642	-0.181840485936377
8	CDBN_008_87_1116	579.565778789545	-5.76383989521305	-9.30605973340631	-1084.47095495422	17.6530991623964	NA	-3.23202901854698	207.028569835537	0.162719609336338
9	CDBN_009_88_409	681.908951211671	-5.93821567055573	-6.39292848564381	-1133.03173472426	12.0519978942532	2.21146530434221	-1.70161394549861	170.241140095875	-0.385270709733942
10	CDBN_010_93_207G	400.627913918996	-5.85951589027137	-6.4896838182144	-128.299588240539	12.7194395369041	-0.494976966594307	-1.41279370313183	141.979559931033	-0.058832483497229
11	CDBN_011_93_208G	-293.742101464961	-7.15379209842035	-11.923384979125	NA	13.1645748240959	NA	-4.52605523949426	53.1026785891218	-1.14273869872012
12	CDBN_012_93_219P	350.44596532062	-6.96057541911742	-6.00659592971781	-214.250296953747	8.49994019123502	-0.344790620304087	-0.502126975819734	158.880967975158	-0.117447795116028
13	CDBN_013_94_1009P	192.107177101608	-8.14871823066824	-11.3392242495619	-801.729975735025	16.6911192108594	NA	-5.5781670706502	155.7076251941	NA
14	CDBN_014_97_409P	372.845126077261	-9.49232057850194	-8.07279757800092	358.939442098878	11.0381175575717	-6.13629407326179	1.79166483456636	188.130290906742	-0.901176587241787
15	CDBN_015_98_163G	371.241066279088	-8.98730145076345	-17.7158217232132	NA	5.41370438057947	-9.25492842024231	-7.74970232882763	139.676691078065	-0.309240256785797
16	CDBN_016_98_209G	232.466139714083	-6.73355737427114	-6.04737044617595	NA	16.762985050281	-1.56562813377117	0.989768030210407	43.5853548425262	-0.165995102466838
17	CDBN_017_CO_64342	386.607010317846	-6.16146443799112	-4.81699944771854	-1290.34573131958	13.8630198120158	NA	2.10937485227514	139.728921970453	NA
18	CDBN_019_CPC_00153	-87.6690119552572	-8.00324729385696	-4.34026653517663	-2766.36830472458	18.1366162980672	-3.11418486407372	2.01566035383505	286.795738910831	-0.935567179214734
19	CDBN_020_CPC_00247	92.305677136383	-8.08931884323663	-4.25211097819447	-358.333829841783	3.25274473243336	-17.1531853319558	1.91738563001215	226.114642054244	-0.687413194910097
20	CDBN_021_CPC_00250	560.101080810425	-8.20931639520693	-7.6587111542267	NA	11.3211986406697	-5.46351417301141	0.0701965240544127	-20.7078745975468	0.429428481532817
21	CDBN_022_Cran34	637.279167889228	-6.26407112888517	-7.49513593982031	NA	13.8287139227582	1.17210392905603	-2.35658527906532	174.949749176033	-0.909838786337974
22	CDBN_023_CU_M90	620.916294801782	-3.62930331940238	-4.60435231772049	NA	17.8830322579827	NA	-1.18641697585124	47.1921497408669	-1.04970242405196
23	CDBN_024_Elizabeth	-19.0230813921197	-6.9971351779639	-2.77946135207835	NA	-4.82936253613832	-0.384403495005971	4.42349028703112	219.904378830325	-1.44203548360567
24	CDBN_025_Flamingo	48.7408874991571	-6.17639484571011	-8.0379479379985	-1045.3201755315	13.166670207624	-0.844909908323196	-2.2389570290747	67.8945790525968	-0.258490089562835
25	CDBN_026_Frigate	-353.379020240417	-9.13613741872068	-12.4168618716519	NA	13.141688948433	-7.64684106540658	-1.94552072899711	36.524145767503	0.137490633414835
