Taxa	GHmode	Det_scr	Earliest_Year_CDBN	BM	BR	CB	CM	CT	DF	DM	EV	GH	HB	HI	LG	PH	RR	RU	SA	SF	SW	SY	WM	ZN	SY_rmout	PH_rmout	BR_log	CM_log	EV_log	ZN_log	RR_log	WM_log	SW_log1	SW_log2	SW_log3
CDBN_054_23ST_27	3	2	2014	194.354231671869	NA	0.109227847311378	NA	NA	0.882259287917708	-0.369521150104776	-0.136718218119849	0.619729711707753	-0.0739241347975059	2.28714098403505	0.404130205504039	-0.926792378535945	NA	1.69329404090998	-0.0531539161201348	-2.26012564255825	51.1307240312821	467.078635116276	NA	NA	467.078635116276	-0.926792378535945	NA	NA	0	NA	NA	NA	0	1	0
CDBN_171_CELRK	1	1	1990	-855.833936843825	0.0538614709892553	0.758565657284254	-0.0687184147750909	0.180483438605641	-4.63878099423025	-5.05733106974239	-0.147517815240454	-1.02858524039526	-0.016492280007883	-0.444849561638048	-0.991619967262665	-6.36101147793883	0.704931515227741	0.203629340316832	-0.00720706247414732	-0.108527349562396	203.070092932222	-537.551000111532	-1.09784635838461	-0.576208775554747	-537.551000111532	-6.36101147793883	1	0	0	0	1	0	0	0	1
CDBN_185_CO_91212_4	3	2	2014	45.6902369136427	NA	NA	NA	NA	1.78275624633735	1.31880040892044	-0.0166594243829062	0.244703302122506	NA	0.510694265549989	-0.109671698528733	3.46799793139624	NA	-2.67869045786145	0.0547706988470945	-1.51572888289941	40.5237968547018	286.755516765488	NA	NA	286.755516765488	3.46799793139624	NA	NA	0	NA	NA	NA	0	1	0
CDBN_067_ElDorado	3	2	2014	239.686858934651	NA	0.0643351324239061	NA	NA	0.00798979037141838	6.6730669669205	-0.0187711024835151	0.285216117375443	-0.232617285736194	1.17306329752019	0.179828386805998	3.31161767983147	NA	1.72963186149493	0.131752555023515	4.08725324817512	78.7962682632727	499.260850102682	NA	NA	499.260850102682	3.31161767983147	NA	NA	0	NA	NA	NA	0	1	0
CDBN_062_Fathom	3	2	2014	388.609517279098	NA	-0.254312365864098	NA	NA	-0.478982193603329	5.03406513735737	0.311582322047988	0.390821816913415	-0.100557632987732	-2.72769763734361	-0.176739832999388	1.04137044927662	NA	1.44246252369903	-0.0712000714914644	2.9783372174039	-117.636270334446	258.008120411431	NA	NA	258.008120411431	1.04137044927662	NA	NA	1	NA	NA	NA	1	0	0
CDBN_068_Gypsy_Rose	3	2	2014	342.370260071747	NA	-0.0882287177801084	NA	NA	2.60146169251079	5.01320374927133	-0.0532265072786504	0.579960890552926	0.0167303289923651	-0.123911289988673	0.537005996002531	3.39990858129465	NA	0.258366704343777	-0.0826551246882564	0.611701462622885	-47.2303825108012	512.464912142622	NA	NA	512.464912142622	3.39990858129465	NA	NA	0	NA	NA	NA	0	1	0
CDBN_172_Majesty	2	2	2011	-681.006921187703	NA	0.192239604415485	NA	NA	-0.454829250390424	0.11943435314877	0.0307771800915652	-0.491412649248722	NA	-2.24910774590889	-0.807501704428486	-2.17641399328288	NA	-0.256407016394229	0.0538900765909185	0.792290484224124	263.743211059221	-371.504114094475	NA	NA	-371.504114094475	-2.17641399328288	NA	NA	0	NA	NA	NA	0	0	1
CDBN_173_ND060197	3	2	2014	15.3373764449141	NA	NA	NA	NA	0.0920095116032815	-2.79004900873481	-0.137271749219752	0.296826132140015	NA	1.59974505938793	0.532686153376415	1.96732117894556	NA	-1.73861657015833	0.0350363381604656	-3.28875233890571	-2.64796711774266	345.442133269182	NA	NA	345.442133269182	1.96732117894556	NA	NA	0	NA	NA	NA	0	1	0
CDBN_160_NY_105	1	1	2014	-747.376283617748	NA	NA	NA	NA	-3.61340206402051	-2.50816199177667	-0.0879750877526367	-1.10274696104805	NA	-1.46813519693815	-0.852225598264185	-3.89404706739482	NA	0.460897351230847	0.0572027744019764	1.71643325302073	246.846404835565	-511.466772744427	NA	NA	-511.466772744427	-3.89404706739482	NA	NA	0	NA	NA	NA	0	0	1
CDBN_063_OAC_Inferno	1	1	2011	-81.1293168254322	NA	0.119885145180375	NA	NA	-2.1903223447513	4.16914106973465	-0.16888874860118	-0.773690050096919	NA	-4.2449208289085	-0.0695909448394458	-1.09296759763756	NA	-1.10882114279036	0.0538818048806706	4.57762234981729	207.307974222937	-56.3967457974522	NA	NA	-56.3967457974522	-1.09296759763756	NA	NA	0	NA	NA	NA	0	0	1
