Taxa	SY	SW	HB	RU	SA	WM	BR	CB	CM	CT	EV	GH	PH	BM	DF	DM	HI	LG	SF
95	CDBN_258_Fiesta	-593.796374633969	34.8586556555966	-0.22114702800091	1.3632777383513	NA	1.55036271022846	-0.545710676533644	2.02270845579379	0.175884205081617	NA	NA	0.131143140940643	NA	NA	-4.28104054804741	-5.16308685262123	9.27933325125292	NA	0.892384358595633
96	CDBN_257_Envoy	-1078.25073458985	-189.562407028202	-0.185184927522607	-3.24360399363008	NA	NA	NA	0.936920939647283	NA	NA	NA	-1.89112313560724	-8.74280451521973	-1423.59576155609	-1.28198699525444	-0.270402705270478	-3.19715169534966	-0.66335652930337	2.42457352977072
97	CDBN_256_Emerson	-344.068664088084	NA	-2.18036079562102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
98	CDBN_255_Eclipse	-352.581752925821	-193.594068146615	NA	-4.15300491615331	0.836507960939774	NA	NA	0.949232931179669	NA	NA	0.191419341104816	-0.976249013160961	5.38975467540971	941.326169708901	3.13161625300844	1.52817161760963	0.316466270884391	-1.10615970797472	-0.153078504270689
99	CDBN_254_Croissant	-363.882938760037	-25.5439210637345	NA	-4.15300491614647	0.599258989763166	NA	NA	0.949232931179671	NA	NA	0.0942092299724551	-0.195074729195819	5.99011093554486	399.398329277791	0.683868373492324	0.437895843215211	7.23535404909561	-0.658130452393536	0.817002091482781
100	CDBN_253_Coyne	-654.407662305919	-17.3138459667502	NA	-4.25761157422825	1.07778514481843	NA	NA	0.930867986034623	NA	NA	0.833668633894686	-0.364128088387624	-1.08351541913594	264.492697830677	-1.46981301194193	-1.62359933615148	-0.670495806409246	-0.437417607595573	0.58806006622985
101	CDBN_252_Condor	-558.057358615646	-179.605090940447	NA	NA	0.707648083489694	NA	NA	NA	NA	NA	0.758006286615299	-0.773832859058808	6.67919372736328	599.958693386129	2.97305938013777	1.94653346820698	0.37704440085107	-0.637047970530489	1.04297191433897
102	CDBN_251_CDC_Rosalee	-748.472282081735	-106.367141792871	NA	NA	1.09401941211514	NA	-0.61367489596602	0.0639480507811241	0.85077992171199	NA	-0.623886252997711	-0.241383811804219	-2.5240152629943	-185.63849634793	-4.31570343995386	-6.06275515255325	3.32673988603945	-0.00891904874719861	-0.908984102307123
103	CDBN_250_CDC_Pintium	-1049.66512571374	-3.31685790132403	NA	NA	0.0940194121151427	NA	-0.61367489596602	1.26394805078113	0.85077992171199	NA	0.16611374700229	-1.57471714513756	-1.4615152629943	-1134.29849634793	-5.82479434904477	-8.7255023747754	3.36021748887004	-0.998786549437241	-1.02977160230712
104	CDBN_249_CDC_Pinnacle	-356.821380941988	19.5470506566585	NA	NA	0.5408212481446	NA	-0.613674895966021	2.52600260657132	0.850779921711988	NA	-0.756754400786246	-0.0989467699271334	0.790262821449437	-356.353132804756	-3.77395407716393	-6.18737157712604	12.5904259608806	0.716136671168538	-1.07550213260285
105	CDBN_248_CDC_Expression	-1476.73264986624	-165.736392724906	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.55778980227391	NA	-2171.12895298302	-4.20105015285249	0.345670386156106	-8.47702739258761	-0.855799407219884	6.13737873413491
106	CDBN_247_CDC_Crocus	-525.860015585297	0.847178627676076	NA	NA	0.993520589595637	NA	NA	1.78805716236152	NA	NA	-0.409932776773757	0.043022548176571	-5.8998472914615	-643.984751009527	-5.36562080753187	-7.35378913724607	6.21164335644072	1.20882284230614	-0.607833335832121
107	CDBN_246_Blackhawk	-792.789652238461	-177.066313431302	-0.811596591661163	-6.7741276428987	NA	1.31955652012509	0.550924659158812	-0.0147453161646268	0.0770902627458731	-0.602804043168062	NA	-1.12054395891072	11.4012324721778	817.584010041037	5.91747091717503	5.07523128316718	-8.48681798874603	-0.79073879450525	0.653987464794944
108	CDBN_245_Bighorn	-348.899755031387	16.8335533009366	NA	NA	0.528806985954213	NA	NA	NA	NA	NA	0.0481259184217691	-0.310614940173888	5.74512333634122	1120.73237294089	-1.59263469702326	4.30731275513656	-0.720283771112797	-0.136386919084016	7.00431716278222
109	CDBN_244_Bandit	-523.74146799322	-181.953098124321	NA	-3.4710612768576	0.346355537835082	NA	NA	NA	NA	NA	1.03887159220647	-0.729252953732053	7.83925907892533	698.088092054439	2.08898173911588	3.3164735276674	-0.835551740366866	-0.756115036996769	3.02522150978955
110	CDBN_243_Apache	-672.207443603896	-7.24841498806641	NA	-2.16469524221516	0.0791554023887495	NA	NA	1.93086798603463	NA	NA	-0.787354667442573	NA	9.48594516946809	-432.924252778412	-2.37518545429859	-5.40322455673881	4.36386517857304	-0.577165822252462	-2.14759848705331
111	CDBN_242_AC_Pintoba	-426.890933070892	12.9578394356259	NA	NA	0.93198614823107	0.795223580607923	0.449075342191366	1.7880571623615	-0.0770902627495116	NA	-0.409932776773742	-0.15697745182342	3.68148697370231	-355.213221009577	-0.370291681142873	-0.0391232597342049	5.87379038928467	0.373443477408326	2.09324735989956
112	CDBN_241_AC_Ole	-546.822315641462	-1.5140512984133	NA	-4.38607500128891	NA	0.504552629510839	NA	2.30264012139138	NA	NA	NA	-0.852371249062029	10.6519366167415	1190.84202256556	-2.07236135268241	-3.81221260330658	3.51682032673569	-0.575607663926656	-0.211234322146656
113	CDBN_240_Norstar	-608.806207599593	-205.387222173127	NA	-6.77412764302222	NA	-0.125024139084439	NA	1.12453171014141	NA	-0.710010150466908	NA	-0.385098246317305	-0.998582731141225	312.451266729779	-0.406912374636712	0.27143530569257	5.83502971498168	0.0647063291816475	1.87929015878264
114	CDBN_239_Arthur	-805.39544140147	-213.791012888162	NA	NA	0.758079636799088	0.295223580607922	0.449075342191362	1.78805716236151	-0.077090262749512	NA	0.590067223226243	-0.768467273329159	9.32613780194518	524.070091966152	3.33096946110243	1.87948282208275	-4.16698039519508	-1.3708034587562	0.515369287658887
115	CDBN_238_Midnight	-638.501801965826	-189.342106339945	-0.396657796008914	-4.06992029547297	0.811211786883208	1.23042278117094	0.301958948524963	-0.578640239682996	0.0643427311584704	-0.438178619251893	NA	-1.03583623103047	6.05845628856396	790.643582009272	4.73697201559246	4.50739999474527	-5.47012088117831	-0.730534131376206	1.65839958345735
116	CDBN_237_Longs_Peak	-331.298155465252	-14.7638459667503	NA	-2.5076115742332	1.07778514481843	NA	NA	1.93086798603461	NA	NA	-0.366331366105318	-0.864128088387624	8.81512192140014	194.492697830677	0.359948013891122	0.93644661540071	-1.17049580640925	-1.1933726871041	1.19397174977794
117	CDBN_236_Rosetta	-241.259189745289	-63.8450990230896	NA	0.649472093729493	1.02431839348469	NA	NA	NA	NA	NA	0.666722949283953	-0.717555247712566	10.9254958263162	705.923855930808	0.900040063586696	2.50710844401793	2.33814218726297	-1.42850894119999	2.13823850476285
118	CDBN_235_UCD_9623	-472.743094254562	-33.9700527831297	NA	NA	1.68594312836468	NA	NA	NA	NA	-0.64391361131985	-0.199327124476607	-0.541930644985176	2.72160817740584	-292.97469386796	-3.82982773015444	-4.20716246384382	4.0276139106663	-0.925304027553314	1.31903966203612
119	CDBN_234_UC_BTS_96114	-365.938267865875	-196.018118058713	NA	NA	0.185171799923723	NA	NA	NA	NA	NA	0.675822621341802	-0.817895138222724	6.20346995970173	1518.8843533656	3.02177487093504	5.87066064866646	4.74054495282935	-0.0991122705302191	4.68333778628234
120	CDBN_233_Star	-615.790604732892	-32.4732582069603	-1.76193326038085	NA	NA	0.840618774619699	NA	0.0913053560253921	NA	NA	NA	NA	NA	NA	NA	1.84054954032661	NA	NA	NA
121	CDBN_232_OAC_Gryphon	-964.588904474186	-199.152821372324	NA	NA	0.743520589595635	NA	NA	1.78805716236154	NA	NA	1.09006722322624	-0.556977451823431	1.81443842282421	152.015248990472	-0.365620807531874	3.43192514846816	-6.78835664355925	0.45882284230615	5.47549999750122
122	CDBN_231_JM126	-398.057330480708	-21.5979569347319	NA	NA	NA	1.2601066458368	-0.574330529083145	NA	0.207505607336818	NA	NA	-0.339098484337011	5.26027598421072	NA	-1.19322824416593	1.31014784482599	1.80869077681144	-0.0170732065862612	3.73131110697458
123	CDBN_230_Ivory	-534.772110463019	-32.1636920679016	0.0196392043790407	NA	NA	1.26010664583664	-0.545710676533644	0.630616707529908	0.175884205081608	NA	NA	-0.368856859059397	NA	NA	-1.57366347774401	-5.22130909750568	8.88460208393883	NA	-2.95062877400819
124	CDBN_229_6R_42	-315.72547748801	-55.3652945749267	-0.709100873554777	NA	NA	1.25808444859665	NA	NA	NA	NA	0.033490704764493	NA	NA	NA	0.623752556613979	1.83058989314324	-7.14276551788919	1.12796988923217	3.76159893172892
125	CDBN_228_Zorro	-421.702012983058	-180.934630628219	NA	-4.15300491615331	0.851124065387372	NA	NA	0.949232931179668	NA	NA	2.09420922997248	-0.803381836327209	8.0630506705798	724.884085514855	3.38434741908386	4.17926690164211	2.1355662147293	-1.52142347546162	2.37595789530643
126	CDBN_227_Victor	-245.378520121642	-59.3020105055124	-0.0803607956209618	-0.397798931539294	NA	1.26010664583661	-0.545710676533644	0.761354785548573	0.175884205081608	NA	NA	-0.151326320097473	NA	NA	-3.62016744972671	-1.83839461842737	0.575644602152384	2.05264208104014	1.99939662949979
127	CDBN_226_USWA_12	-506.683093548867	9.42859672266439	NA	-2.68607500128279	NA	0.00455262951084639	NA	0.302640121391346	NA	NA	NA	-0.60639218095548	2.07693661674127	504.789101080386	-1.26610923411327	2.5544035924986	4.87266815644145	0.00844127478162271	5.09763975096535
128	CDBN_225_USRM_20	-313.692475058616	19.3990153640472	NA	NA	0.369943966745309	NA	NA	NA	NA	NA	0.234660072360883	-0.196939977018837	0.412758738900806	972.792201719461	0.978943232521955	-0.658527279438818	-0.510172505950759	0.230273459207625	0.313507078415099
129	CDBN_224_USPT_CBB_1	-378.840036084424	-25.6587503176801	NA	NA	0.607545582805828	NA	NA	NA	NA	-0.64391361131985	-0.0569855314029387	-0.151653161749938	0.863864928202166	232.793531742622	-2.8126922977086	-4.34827399755118	3.19511697511501	-0.298533728028011	-0.22197953960996
130	CDBN_223_USPT_ANT_1	-564.762701379384	-41.1421681222242	NA	NA	0.0894939674405579	NA	NA	NA	NA	NA	-0.203433530544186	-0.114527922942459	7.34542669183994	711.601831777615	3.67623122546415	5.3359449560645	-2.75363128061756	0.716063440405565	4.42284131716038
131	CDBN_222_UI425	-278.435255622944	-15.6044457203615	-0.621147028000943	NA	NA	1.55036271022843	-0.545710676533644	1.07108560853451	0.175884205081616	NA	NA	0.131143140940643	NA	NA	-2.03814065660734	0.249249656158335	7.87354904670874	NA	4.64590180746951
132	CDBN_221_UI196	-266.147541276951	-34.7370009414176	0.290899126445194	0.367177929041051	1.16271201351437	0.0609555789895783	-0.602950381632648	NA	0.239127009592043	-0.707230198119566	-0.966509295235368	0.038428538497854	-4.53817533420362	NA	-0.955416018671084	-1.55136295836703	1.34442259950554	0.555448341323242	1.1876195816747
133	CDBN_220_UI126	-377.491196743694	-20.4888910683267	0.400424116919711	NA	NA	NA	NA	0.418741878075348	NA	NA	NA	0.170735822272815	14.9685204380954	403.468529568046	-1.6514564020438	1.72827012767406	7.69170246001292	0.855198810018084	4.8160957403777
134	CDBN_219_UI111	-626.541624548252	-23.2434759236523	-2.18036079562102	NA	0.594019412115148	NA	-0.613674895966019	1.76394805078118	0.850779921711988	NA	-0.186386252997735	0.0919495215291061	-3.83651526299429	112.670503652064	-1.14176404601439	-2.8421440414426	6.84563577604817	1.00670595125279	0.891932564359546
135	CDBN_218_UCD_9634	-365.128360216682	-57.3480059340729	NA	0.14947209376032	0.84202082672598	NA	NA	NA	NA	NA	0.266785326501435	-0.512476235693786	5.59094022337578	69.2970832902225	-2.39367760980967	-0.407778010330291	0.938564414472937	-0.490942677780327	3.57436476480361
136	CDBN_217_Stampede	-175.125480306373	-13.4468389241216	NA	-4.21103934592702	0.898636836785829	NA	NA	1.70699367221782	NA	NA	-0.268960497378339	-0.622721198024572	8.38732721941986	738.650244098933	0.142321170412348	0.819916564763474	2.52082321246253	-1.12131322584588	1.25312901732154
137	CDBN_216_Shoshone	-391.654988452004	-20.9898575772175	NA	-1.97106127689027	0.477474346465916	NA	NA	NA	NA	NA	-0.207214999711791	-0.0373973131018104	0.114010772725786	325.989101339009	-1.59010957507181	-3.25399947486881	5.33703746139611	0.53963927923625	1.21690972717798
138	CDBN_215_Shania	-415.489732151898	-188.567424203593	NA	-4.81203309650139	0.618360290189516	NA	NA	1.69923293117968	NA	NA	0.782897746277897	-0.698892272195529	11.0419579887152	674.363734354957	4.10625501377674	5.17944339848295	-0.0163077459194762	-0.812238723036001	2.13774632848343
139	CDBN_214_Sequoia	-698.065130824598	-39.7831257859324	NA	-4.52193452626926	0.958768048037384	NA	NA	2.56505045860715	NA	NA	0.151608007418924	-0.174626276991111	6.73253894382385	-469.705960371959	-0.710720524931834	-1.60866111564377	-0.343880239960276	-0.622134002171162	0.603583083778149
140	CDBN_213_Sedona	-762.932900427754	-22.1174900939374	NA	NA	0.978735002940982	NA	NA	NA	NA	NA	-0.552979193732211	-0.524577864310913	8.5076308285854	330.865153608749	0.293183568762047	-1.50230103838115	1.09020472105334	-0.509488211353871	-1.83851474715625
141	CDBN_212_Seabiskit	-292.236165528485	-203.101710486756	NA	NA	0.478735002940981	NA	NA	NA	NA	NA	1.1379009076675	-0.524577864310915	4.04769990251209	1312.86515360875	0.382033448496858	1.93628074020653	0.340204721053337	0.36551178864612	4.51137956585796
142	CDBN_211_Sawtooth	-598.875877553672	28.8535331577503	NA	-5.47106127685646	0.465699915172977	NA	NA	NA	NA	NA	-0.528413737416665	0.0706374783499137	2.42830560880132	195.679713327159	-0.516340715472668	2.97308734522484	-0.469730362699953	0.173322513161877	4.5717287453579
143	CDBN_210_Santa_Fe	-287.773787744142	22.8133023138303	NA	-4.15300491615331	1.02325184775969	NA	NA	2.44923293117967	NA	NA	-0.905790770027532	-0.803381836327209	5.13764335121306	430.64009673144	-0.528433522434925	-1.0217168245672	4.91416730158746	-0.798254673929836	0.711169733458614
144	CDBN_209_Sanilac	-1004.16168199488	-195.74880303081	-1.07114702800093	-1.97564559251467	NA	0.840618774619895	0.454289323466362	1.42702192402972	0.175884205081613	NA	NA	-0.868856859059364	NA	NA	0.749594448428051	2.28692355244304	3.02077668762302	NA	7.43236268252619
145	CDBN_208_Roza	-202.214631502238	-51.0181180587127	NA	NA	0.185171799923723	NA	NA	NA	NA	NA	-0.990844045324864	0.182104861777275	8.45346995970175	582.551020032264	0.688441537601682	-1.72933935133353	1.99054495282935	1.40088772946978	4.93333778628235
146	CDBN_207_Raven	-929.896120869041	-206.405029995918	-0.882402993751954	NA	NA	NA	NA	NA	NA	NA	NA	-0.805459767764964	NA	278.081851762923	4.28207829620519	1.33564399086492	-5.7010210333133	-0.609694510150176	-0.616388236790269
147	CDBN_206_Quincy	-133.725454211423	15.6240018644466	NA	NA	0.292610803670176	NA	NA	NA	NA	NA	NA	-0.424475849697988	-0.882385202370401	1052.93545739439	-3.61786254904063	-5.67382208937215	5.19197430678264	0.306328387193078	-1.29388141339067
148	CDBN_205_Pindak	-433.583787031597	NA	-2.18036079562102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
149	CDBN_204_OAC_Rex	-960.946404607903	-195.041821410761	NA	NA	0.489850917986537	NA	NA	NA	NA	NA	0.857039812676052	-0.771071172257825	7.54498440343191	1079.92399919039	0.332960202277975	5.00737625312457	-4.1836419656786	-0.530094377154672	6.39505784367426
150	CDBN_203_OAC_Laser	-1149.94069385327	-186.78611440942	NA	NA	0.993520589595637	NA	NA	1.7880571623615	NA	NA	0.590067223226253	-0.556977451823426	4.81443842282418	-473.116097390917	-1.22142217797987	1.83425156685136	-1.77625530055866	-0.863693150362923	4.77674787537175
151	CDBN_202_Nodak	-132.228538136067	-35.5144762293655	NA	-3.49779893084396	NA	NA	NA	1.87946130719445	NA	NA	NA	NA	NA	NA	-3.03598878655203	-6.28167799720309	5.07124126108859	NA	0.490565851399448
152	CDBN_201_Newport	-1047.06197640542	-194.68093111892	NA	-4.38607500128389	NA	2.50455262951086	NA	1.30264012139135	NA	NA	NA	-1.88190278257258	-9.91482719026004	-1398.2337512111	-0.341106682469057	0.400806205837108	1.83210640662572	-0.76505628104741	2.48104886747282
153	CDBN_200_N05324	-582.285454211423	-182.264887024443	NA	NA	0.792610803670176	NA	NA	NA	NA	NA	NA	-0.424475849697988	11.8426147976296	990.935457394392	2.66547078429269	3.37062235507227	1.19197430678263	-0.943671612806919	2.15611858660937
154	CDBN_199_Montrose	-73.3177933630736	-13.2704684311474	NA	NA	0.493520589595635	NA	NA	-1.21194283763847	NA	NA	-0.409932776773757	-0.156977451823429	-9.18556157717577	328.348582323805	0.249763807852754	-4.28236056581749	6.21164335644072	1.12548950897281	-2.85783333583212
155	CDBN_198_Merlot	-515.747223033795	-29.578533361411	NA	NA	0.693396183387051	NA	NA	NA	NA	NA	-0.0898394406950289	-0.728258131905418	9.06049204251496	344.637647984858	1.83551155804793	1.27747473191798	1.52041267031813	-0.785399630487008	1.65306573724939
156	CDBN_197_Lightning	-506.169686989257	-175.341438144285	NA	-4.15300491615331	0.698107077334935	NA	NA	0.94923293117967	NA	NA	2.09420922997247	-0.803381836327209	7.21698015556098	738.086929825958	-0.319941751405828	2.86972026414511	2.2543219718971	-1.10463909800894	4.40679383901469
157	CDBN_196_LeBaron	-560.030052294749	-18.628645534536	0.117597006247809	NA	0.740533952060718	NA	NA	NA	NA	-0.64391361131985	-0.284650076241569	-0.515376456467169	-4.5800335877182	-861.316003903392	-4.2394032578808	-8.74941266001052	8.95759069221923	0.0391991106791783	-2.96432210366919
158	CDBN_195_Lariat	-0.316668719702467	9.4827423082557	NA	-4.15885007916973	0.714993113398287	NA	NA	1.66505045860715	NA	NA	-1.19657271873504	-0.544473394341677	10.928247055361	1348.93254377643	1.04160955117956	2.77291143872169	-1.9439443509505	-0.238965920478209	2.95052997378086
159	CDBN_194_Laker	-922.626450599779	-200.076630230471	-0.709100873554811	NA	0.617281524374405	1.25909554721685	0.425669470916857	NA	0.207505607336821	NA	NA	-1.86159496214831	3.32779505870391	NA	6.48499112540858	6.42254970038824	-13.4080738740947	-0.017073206586022	5.33712773902963
160	CDBN_193_Kodiak	-302.580139328493	13.0022799592879	NA	NA	0.584173125367106	1.79522358060793	-0.550924657808647	1.7880571623615	0.92290973725048	NA	-0.409932776773742	-0.450785264965011	2.6966368246831	106.196274592137	0.477389609067551	-1.9557952524652	4.08599048689565	0.318746377782244	-0.672018424383329
161	CDBN_192_Rojo_Chiquito	-736.402787535709	-170.874134459437	2.11759700624803	NA	NA	NA	NA	NA	NA	NA	NA	-0.805459767764964	NA	-4.41814823708814	3.43592445005135	0.602310657531538	-4.55102103331328	-0.609694510150175	-1.70729732769936
162	CDBN_191_Garnet	-632.656454216825	-85.6528754758573	0.738066739619195	2.02435440747639	NA	1.8406187746197	NA	1.5785671052898	NA	NA	NA	NA	NA	NA	NA	-3.60398935199286	NA	NA	NA
163	CDBN_189_OAC_Lyrik	-1252.53932136344	172.668725500568	NA	NA	0.432837116149915	NA	NA	NA	NA	NA	NA	-1.42447584969799	-7.03773624442741	-1766.0645426056	-3.50080932256818	-4.00424836321027	3.69197430678264	-1.88906017908617	0.282342730428715
164	CDBN_188_ISB_82_865	-1324.20541710036	136.094112939924	NA	-6.88591349443859	0.867299801161755	-0.0137768132082175	-0.549943024404311	1.40989467334552	0.039173743787782	-0.329091396549909	NA	-1.53373998106335	0.857480903074007	-1009.0236262432	-4.72179493642252	-3.17636662293952	-8.56862255629705	-1.30151120814192	2.06344943389591
165	CDBN_187_55063	-495.122845311231	-63.8280409281891	NA	NA	NA	2.10629720996061	NA	NA	NA	-0.807855094147227	NA	-0.407307585041137	NA	384.06072230457	-3.70390225728765	-4.15806311872409	5.30965073831119	0.475202873315231	0.990411087154539
166	CDBN_186_53026	-385.17680608058	-6.26189104661427	-0.185184927522695	-0.0436039935812743	NA	2.43963054329399	NA	2.28692093964728	NA	-0.807855094147227	NA	-0.407307585041112	1.07451240502241	-603.889490213262	-2.17391404294622	-4.39187324239383	12.4218427512294	0.94287453778742	-0.279558879059216
167	CDBN_185_CO_91212_4	-141.811837552622	-4.98298057518384	NA	NA	0.88492002702884	NA	NA	NA	NA	NA	0.9999999988941	-0.499999999899879	8.63066133798839	-40.0000170263625	0.837463238303446	2.13699333106395	-1.00000012653149	-0.603264687253115	1.88274851535944
168	CDBN_184_CO_33875	-405.136430927147	-7.29917779125789	NA	-3.15300491615166	0.905907175856159	NA	NA	2.89923293117971	NA	NA	-0.905790770027534	0.0343263913063534	8.0691920320555	-30.0756558218513	-0.177326682820612	-1.72448394992313	-2.57160934265304	-0.515079255063081	0.190067714183152
169	CDBN_183_CO_27864	-291.747312539789	-172.331231170289	NA	NA	0.422827300773892	NA	NA	NA	NA	NA	0.546566469455815	-0.819902045491754	8.15901268575096	1501.60183177761	1.85123122546412	1.73238913728346	0.74636871938247	-0.783936559594432	2.19784131716036
170	CDBN_182_CO_1760	-376.618381665115	-68.4790481469868	1.61855359074336	-3.60908519050196	NA	1.57495880619559	-0.34529778381842	1.1069376150133	0.161459610037605	-0.303810334558591	NA	-0.0223075728901088	3.39990226705966	-207.559206389001	-1.87254439138906	-0.23097857645453	6.80134414140185	0.62424331295564	3.71157033229635
171	CDBN_181_CO_11113	-696.160645873123	-174.414564503623	NA	NA	1.42282730077389	NA	NA	NA	NA	NA	1.04656646945581	-0.864527922942459	6.40901268575095	102.601831777606	2.52623122546414	-1.1301108627165	1.24636871938247	-1.03393655959443	-1.5771586828396
172	CDBN_180_Mayflower	-642.662786409759	-197.777911867045	NA	-6.83002056881994	0.490104913255657	1.02010586945579	-0.310230787389005	1.02478547709741	0.112516457934553	-0.232958702969333	NA	-0.838765878368854	10.1701361896831	933.227532866524	4.56511105653708	6.41861473384082	-6.67262089923581	-0.401236078015902	3.28961133806941
173	CDBN_179_Maverick	-458.728592759079	-24.2467281794623	1.11759700624829	-4.38607500128389	NA	0.504552629510849	NA	0.302640121391345	NA	NA	NA	-0.387373281809584	21.7569366167412	304.167446927303	-0.612960106578563	-2.70571315614177	0.801009783695744	0.259241229885226	-0.602451438328377
174	CDBN_178_Seahawk	-486.498805681515	-163.211185131193	NA	-2.97106127682911	0.554843738152805	NA	NA	NA	NA	-0.643913611319851	0.654790676238471	-0.503149210779197	3.3562600967695	695.495948835302	-0.518135946412568	2.03420211581974	2.36512375994864	-0.15249777052146	4.65232977140124
175	CDBN_177_Topaz	-649.583044091387	-12.5617104990849	0.290899126445194	NA	NA	1.25909554721689	-0.574330529083145	NA	0.207505607336823	NA	0.0334907047646342	-0.694150343312609	-1.0222049412961	NA	-2.19439350789189	-6.05587988516769	12.7392913610947	-0.0445516586768388	-3.61408010458349
176	CDBN_176_Sapphire	-452.625803044522	-56.4631412588318	-1.76193326038085	NA	NA	1.8406187746197	NA	-0.0586946439746225	NA	NA	NA	NA	NA	NA	NA	2.15927269254165	NA	NA	NA
177	CDBN_175_OAC_Seaforth	-940.364348035423	-177.556766621124	NA	NA	NA	1.10629720996061	NA	NA	NA	0.192144905852774	NA	-1.74064091837446	NA	-207.439277695443	-1.84509918346756	-3.81501914006414	-2.85034926168883	-0.312297126684764	-0.2403581436147
178	CDBN_174_ND307	-117.375677794293	3.52719576095855	NA	-3.15885007918159	1.15035931635325	NA	NA	2.56505045860715	NA	NA	-1.04657271873506	0.0642432127018329	7.26825665982271	596.883056752411	-0.197570785290719	1.77605412372314	5.40893852799296	-0.486833662674215	2.87204776962704
179	CDBN_173_ND060197	-33.7318375526251	-51.982980575184	NA	NA	0.88492002702884	NA	NA	NA	NA	NA	-1.10590197804895e-09	-0.499999999899879	4.13066133798838	-111.000017026363	-0.995870095029872	-2.72014952607891	1.99999987346853	0.546735312746883	-2.11725148464055
180	CDBN_172_Majesty	-893.712253602063	215.17304297851	NA	-2.33842143368157	0.932732394496386	NA	NA	1.9308679860346	NA	NA	0.730762401094505	-1.21755524771257	3.00358761567816	-406.038171246493	-1.00638327679453	0.226170715251362	-2.15542706490953	-1.17708340333035	3.43974560455153
181	CDBN_171_CELRK	-1152.73140741522	145.523277855353	0.117597006247134	-2.20787611663936	0.573473819267326	0	0	2.67843789918709	0	0	-0.145760596254086	-1.7578477810622	-5.00968069252851	-961.348934027876	-5.46003933726527	-4.70962353299951	0.487174235948171	-1.09253317017424	2.30799792976965
182	CDBN_170_Cardinal	-1337.95455008593	153.875558849087	-0.706849610302651	-3.06387729581298	0.185171799923662	-0.0195565991388355	-0.345297783818418	-0.533024588216756	0.161459610037606	-0.308823098721152	-0.324177378658196	-1.70164099387993	-2.58591650206125	-1188.62937229876	-3.84525922067014	-0.306896980049992	-2.10774527469572	-0.45473620542393	4.34867727943166
183	CDBN_169_Hyden	-514.672387028914	-191.540105184052	0.319639204378979	NA	0.277291467238349	1.26010664583707	-0.574330529083145	0.86409226818508	0.207505607336822	NA	NA	-1.48465965343078	-4.89972401578951	NA	-0.339696456259201	1.66881086068064	3.04830500052402	0.267784437227093	3.77831004833387
184	CDBN_168_Blush	-1089.38901617676	158.277352089264	NA	-4.08607500128301	0.971202926287635	-0.495447370489158	NA	0.302640121391344	NA	-0.64391361131985	-0.792718963921914	-1.68257508192027	1.5650457479542	-139.257992168632	-1.1014370880103	3.1228133523321	-3.00774246234567	-1.1578014377528	5.98598102791769
185	CDBN_167_UCD_0801	-817.49634466129	71.1061757545386	NA	-3.25761157423156	1.40097599035518	NA	NA	0.930867986034612	NA	NA	-0.666331366105318	-1.86412808838762	5.06262913632203	1215.99269783068	0.980764812020726	8.0697989021818	-10.6704958064093	-0.272992519100774	10.3746897470686
186	CDBN_166_RedKanner	-865.266856576505	80.0273811292707	NA	-4.08607500128301	NA	-0.495447370489155	NA	0.302640121391345	NA	NA	NA	-1.88190278257257	-7.42816052359337	-504.896110069259	-2.07960378903212	4.60419628391228	-0.698320712506266	-0.663118718649681	8.10372622431556
187	CDBN_165_Redhawk	-1318.61457108869	83.3302950208899	NA	NA	0.429930837137439	-1.2047764193921	0.449075342191371	-1.21194283763848	-0.0770902627495111	NA	-0.306683153658962	-1.79877864256908	-2.00663919934181	-774.87387020305	-3.50425087060519	-0.868572002320789	-2.17728927465113	-1.13234069435488	4.17808768167041
188	CDBN_164_Hooter	-1183.20091343518	143.379363390543	NA	NA	0.594019412115143	NA	0.386325104033978	0.0639480507811239	-0.14922007828801	NA	0.666113747002287	-1.74138381180422	-8.7115152629943	-739.77449634793	-3.05873374298417	2.02135595855778	-2.5394188993118	-1.1409294065801	5.38301589769286
189	CDBN_163_Capri	-1082.62310000406	121.015599140946	NA	-0.47106127689219	0.223195763422701	NA	NA	NA	NA	NA	0.384577889775981	-1.74216825664819	2.0920462979115	-485.41488405846	-2.78634925158356	0.25267022550326	0.742717438232597	-0.504794720027384	3.61369806906828
190	CDBN_162_RoyalRed	-1102.13251780889	73.8259685672876	NA	NA	NA	1.25808444859666	NA	NA	NA	NA	0.0334907047645064	NA	NA	NA	-0.221559691282385	4.57512791540065	-15.1427655178893	-1.37203011076773	4.00597986708175
191	CDBN_161_Rosie	-880.892438608266	108.290957973407	NA	-3.50004115266927	0.183477367060528	NA	NA	NA	NA	NA	-1.00000000110591	-1.99999999989988	0.398404067487951	283.999982973626	-1.85162870720622	2.81381579640347	-6.00000012653164	-0.964383754918659	5.93013870105002
192	CDBN_160_NY_105	-955.403752873362	205.744945287651	NA	NA	0.88492002702884	NA	NA	NA	NA	NA	-1.10590193425603e-09	-1.99999999989988	0.718935242077943	-173.000017026363	-5.14045392994795	-2.96705662654325	5.99999987346851	-1.3647543883158	4.04244773741764
