Taxa	SY	SW	HB	RU	SA	WM	BR	CB	CM	CT	EV	GH	PH	BM	DF	DM	HI	LG	SF
14	CDBN_340_DRK_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	CDBN_339_Dynasty	-477.021941595068	122.090656350135	NA	-2.50004115266715	-0.517965292907784	NA	NA	NA	NA	NA	NA	NA	2.14333566410082	NA	-1.69800909513616	-0.27743527059446	NA	-0.664013121521523	2.60145196096584
16	CDBN_338_ACUG_14_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	CDBN_337_ACUG_15_B4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	CDBN_336_ACUG_13_SR1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	CDBN_335_SR10_2_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	CDBN_334_NE2_16_33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	CDBN_333_Palomino	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	CDBN_332_COSD_7	-59.30065869003	9.69179315083999	1.32999999809396	-2.50004115266715	0.115079971650334	NA	NA	-1.50000000003634	NA	NA	NA	NA	3.36933867257252	NA	-1.52906109395578	-0.0148226179862275	NA	-0.646735314236099	2.11193600306852
23	CDBN_331_Staybright	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	CDBN_330_DR_Wood	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	CDBN_329_Twin_Falls	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	CDBN_328_Nez_Perce	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	CDBN_327_Black_Foot	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	CDBN_326_USPT_10_12_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	CDBN_324_NW63	-376.732724378088	-55.9400419375277	1.04965141479117	-1.11225153900717	0.379547048584073	2.13336012195191	-0.591644704274348	0.838583702322011	0.294244126101143	-0.644696566704901	0.0481259184218069	-0.0641577010685618	-1.13996829838048	389.552157447942	-3.26142511261494	0.23504698298895	5.94443918315248	0.754787923218707	4.44449933799481
30	CDBN_323_Harris	-570.621193226592	-44.8123352701775	-0.780644380975643	0.669979432872702	1.01500590733819	1.78577198068077	-0.557918235504466	0.0452292154134218	0.29011335820285	-0.458132102578523	NA	0.00325462917627914	-1.00788709474752	622.622978769704	-0.775735203904867	1.42764753331285	-0.722532361171062	0.789521767506047	3.68287258734421
31	CDBN_322_Harblack	-462.972010485142	-195.972397479595	0.00853357497906481	-3.66628463128289	NA	2.0749588061956	-0.345297783818418	-0.425604487876279	0.161459610037609	-0.30381033455859	NA	-0.92823406675874	1.55681543920826	736.366558454251	3.52206786283201	-0.0489756580149746	-0.649039356340138	-0.0855568588964588	-1.70657694835719
32	CDBN_321_Black_Jack	-930.731232276935	-191.327297923008	0.514815072477414	-3.24360399363008	NA	NA	NA	-0.93807906035271	NA	NA	NA	-0.89112313560724	4.92386215144698	526.928214242471	5.6345232166684	3.58868974840531	-5.91976169119523	-0.0676487269742658	-0.384280277364396
33	CDBN_320_115M	-245.713150982472	-180.552530020586	NA	NA	0.616975564991017	NA	NA	NA	NA	NA	0.463662365529053	-0.712048784379231	9.36968995584656	1925.01617766503	3.69387333902502	4.60879608235013	0.425182956593672	-0.741711482215506	3.84305637330348
34	CDBN_319_Yolano	-254.417994653949	-48.378276990431	NA	0.669979431200049	-0.146287044936419	1.39132072800943	-0.310230787389005	1.87106277615943	0.468596615413349	-0.634305551527425	NA	-0.0706750487948245	0.216313946578767	451.379668048303	-3.34166196708355	-3.51935937900373	7.66233055922583	0.822996684821936	1.1981040423401
35	CDBN_318_Weihing	-505.963278402047	-28.4678698224854	NA	NA	0.758079636799089	0.795223580607923	0.449075342191368	-1.21194283763848	-0.0770902627495112	NA	0.0900672232262603	-0.768467273329158	2.27474183900362	-10.9997477563574	-0.925077814383472	-3.20850445447555	2.7920083668694	-0.245916505024806	-0.796654516787628
36	CDBN_317_US1140	-506.383184853044	-62.4150502408726	0.738066739604231	-4.38607500092993	0.812502280383682	1.42643447156129	-0.571125631996905	1.70507378118291	0.316526065844104	NA	-0.666386252997698	0.117679982134333	-3.50584569876165	-310.772827474698	-4.17769338686282	-5.85062060742894	7.12146713723547	1.56270849212291	-0.394438225580778
37	CDBN_316_UI911	-608.264761076233	-185.597267445024	-0.882402993751958	NA	0.185171799923737	0.939630543293939	NA	NA	NA	0.192144905852783	0.342489288008472	-0.577323000804032	1.70346995970173	617.452397674906	-0.101403726472358	0.878111828082272	1.38223042787671	-0.257611555851408	3.32417476771396
38	CDBN_315_UI906	-571.080238794251	-210.244400045377	-0.81159659166111	-5.83002056881763	-0.132700198838352	1.12935128433735	0.0319342803562984	0.839129329980666	0.0391737437877802	-0.329091396549908	NA	-1.10687816676995	3.8262618292428	-114.007635019943	2.42762827231812	-3.13269200145968	4.08661155297019	-0.728663936499863	-4.43177869578739
39	CDBN_314_UI59	-715.795900938455	-58.4190254715337	0.12557765376391	0.353892550610066	0.89066683539595	1.31600991316566	-0.493695315565204	0.974923379724636	0.328036268396994	-0.318252356369057	-0.373886252997663	-0.0815594154220924	-2.28191452587353	-495.939432519579	0.200111019835655	-1.03535953618362	4.75436316241254	1.19944223677426	-0.560503595283425
40	CDBN_313_UI537	-242.128031650617	-24.919249634863	0.688403408338888	1.16997943117307	0.867299801161585	1.88824819404053	-0.549943024404311	1.06294771471124	0.0391737437877802	-0.568193526489948	NA	-0.0539531701320745	-2.75218169383053	378.282660612985	-2.8016638369225	-4.15627471096601	5.98747837853953	0.786189095590785	-0.578641789766838
41	CDBN_312_UI239	-383.046220995845	-71.6599912647796	1.46620603936269	-0.29360399357933	NA	2.60629720996061	NA	1.53692093964734	NA	-0.807855094147228	NA	-0.0346301628044368	-3.40947118188653	266.989879177119	-2.9841404209464	-2.46730006111277	6.15618477284908	0.537691678023811	2.3753904138096
