Taxa	BM	CB	Det_scr	Earliest_Year_CDBN	GHmode	CT	DF	DM	HB	PH	RU	SA	SF
CDBN_054_23ST_27	194.354231671869	0.109227847311378	2	2014	3	NA	0.882259287917708	-0.369521150104776	-0.0739241347975059	-0.926792378535945	1.69329404090998	-0.0531539161201348	-2.26012564255825
CDBN_171_CELRK	-855.833936843825	0.758565657284254	1	1990	1	0.180483438605641	-4.63878099423025	-5.05733106974239	-0.016492280007883	-6.36101147793883	0.203629340316832	-0.00720706247414732	-0.108527349562396
CDBN_185_CO_91212_4	45.6902369136427	NA	2	2014	3	NA	1.78275624633735	1.31880040892044	NA	3.46799793139624	-2.67869045786145	0.0547706988470945	-1.51572888289941
CDBN_067_ElDorado	239.686858934651	0.0643351324239061	2	2014	3	NA	0.00798979037141838	6.6730669669205	-0.232617285736194	3.31161767983147	1.72963186149493	0.131752555023515	4.08725324817512
CDBN_062_Fathom	388.609517279098	-0.254312365864098	2	2014	3	NA	-0.478982193603329	5.03406513735737	-0.100557632987732	1.04137044927662	1.44246252369903	-0.0712000714914644	2.9783372174039
CDBN_068_Gypsy_Rose	342.370260071747	-0.0882287177801084	2	2014	3	NA	2.60146169251079	5.01320374927133	0.0167303289923651	3.39990858129465	0.258366704343777	-0.0826551246882564	0.611701462622885
CDBN_172_Majesty	-681.006921187703	0.192239604415485	2	2011	2	NA	-0.454829250390424	0.11943435314877	NA	-2.17641399328288	-0.256407016394229	0.0538900765909185	0.792290484224124
CDBN_173_ND060197	15.3373764449141	NA	2	2014	3	NA	0.0920095116032815	-2.79004900873481	NA	1.96732117894556	-1.73861657015833	0.0350363381604656	-3.28875233890571
CDBN_160_NY_105	-747.376283617748	NA	1	2014	1	NA	-3.61340206402051	-2.50816199177667	NA	-3.89404706739482	0.460897351230847	0.0572027744019764	1.71643325302073
CDBN_063_OAC_Inferno	-81.1293168254322	0.119885145180375	1	2011	1	NA	-2.1903223447513	4.16914106973465	NA	-1.09296759763756	-1.10882114279036	0.0538818048806706	4.57762234981729
CDBN_095_Othello	-11.2876501722629	0.321655585525286	2	1984	3	-0.16691792920874	-3.5236618878038	-7.97508403782277	0.290544292822526	-4.83983409044459	3.4022493945434	-0.192412688484087	-4.37941499801105
CDBN_069_Powderhorn	172.847442048133	-0.125045907179489	2	2014	2	NA	-0.7941172117923	-2.27173983146282	-0.185220931896614	4.12482568217693	-1.15997179066079	0.122670980058347	-2.38159044313414
CDBN_070_R12859	59.9175185622521	NA	2	2014	3	NA	0.436403343264354	-1.30319274592582	NA	4.45784603942938	-0.832164178275373	-0.000750444228253907	-2.48100527634333
CDBN_236_Rosetta	281.733024976859	NA	2	2012	2	NA	1.45970351695731	1.6027641716141	NA	5.14425147316471	0.48920348383529	0.0717973107860675	-1.28470699101294
CDBN_161_Rosie	-489.898086750315	NA	1	2014	1	NA	-0.944036250413465	2.26046369930735	NA	-2.37151927957129	-1.06686751802908	0.0199045330366904	2.67885702013429
CDBN_059_SF103_8	212.874353618983	0.107147172862288	2	2014	3	NA	-1.87845875526266	1.27553882018438	-0.11484681201362	1.75597205958105	1.59144158970816	-0.0690352106484336	1.79031678220148
CDBN_071_Snowdon	-826.685740840138	NA	1	2014	1	NA	-3.25170651044204	-3.73567005580578	NA	-3.83705861846214	-0.218757716327624	0.056003719383906	1.55047827737287
CDBN_310_T_39	414.89804423619	-0.21634049691191	2	2002	3	-0.0328809626713622	4.09577609454839	4.080452921114	0.316007656326156	1.20445603644753	-2.77637991679092	-0.0732807500830538	-0.534331918035768
CDBN_060_Talon	-582.149113914341	NA	1	2014	1	NA	-1.38712794824332	-0.019979217241265	NA	-3.27790265641206	-1.23010210373752	-0.00993335349029437	2.31325771671926
CDBN_235_UCD_9623	-341.72239282308	NA	2	2014	2	-0.104573991571411	-2.86836299508412	-4.28178223750347	NA	-0.254498811894764	1.86704802295851	0.124508934528032	-1.15388594841262
CDBN_218_UCD_9634	-152.282161349951	NA	2	2012	2	NA	-1.76559946621763	-1.23990536015378	NA	1.29916206958309	1.83806901308239	0.043561756269219	0.154662404248047
CDBN_343_USPT11_13	241.849428191138	NA	2	2014	3	NA	0.865795718278122	0.703838470918727	NA	2.61840553757618	-2.57830413556859	0.0313160593706737	-1.50844515420785
CDBN_061_Yeti	-579.705192797395	NA	1	2014	1	NA	-0.951502477570197	1.1914962824118	NA	-3.93778124098911	-0.945340614517294	-0.0281562415127498	2.65067850668173
CDBN_052_Canario707	108.557686746322	NA	1	2013	1	0.208912329790066	-0.189356857070928	8.10118748678775	NA	-1.50844041109797	NA	0.0378094520022501	6.67070751889658
CDBN_064_Rexeter	399.863351074407	-0.547830031809708	2	2010	2	NA	1.76954445130368	7.14073341497254	NA	3.06686712969893	-0.773651253597508	0.0707762855507486	5.00387407277053
CDBN_262_GN9_4	338.65856780142	NA	2	2013	2	NA	0.490012944004235	1.01005560378944	NA	4.57644901812201	NA	0.0983140167189931	-0.337505844464356
CDBN_083_USPT_11_9	204.795145549236	NA	2	2013	2	NA	0.560492838384119	-0.902568162122022	NA	3.51856563302509	NA	0.054487862747991	-1.82474469148703
CDBN_143_USPT_9_6	246.503044881928	0.16539450366521	2	2011	2	NA	1.64118539351884	1.06508092772409	NA	1.19637151514803	-2.37418601581662	0.0612202031566512	-1.2657090983543
CDBN_253_Coyne	169.063999161283	-0.206445784568476	2	2011	2	NA	-0.77007726524877	-1.79359911786137	NA	-3.01882116807626	-1.87974426210353	-0.00921366868230755	-1.4836914868824
CDBN_237_Longs_Peak	79.2991654116018	-0.0219667566030447	2	2011	2	NA	1.00927935320529	0.566188453701987	NA	4.04037920218681	-1.63621304545439	0.0333414469813509	-1.2273590295369
CDBN_058_Rio_Rojo	101.58520647699	NA	2	2012	2	NA	0.614313662477719	-0.382489276353089	NA	2.40347798317897	-2.2794409350252	0.0601519394631199	-2.20884695802998
CDBN_217_Stampede	318.004110760398	-0.0613757717923365	2	2008	2	NA	0.652145226389361	0.416988285200372	NA	5.11622113384162	-1.9673039618738	0.121456546803318	-1.22160149621166
CDBN_167_UCD_0801	-194.117856892735	0.0214884997021746	1	2011	1	NA	1.14063216956725	6.76734333023921	NA	-1.354508464136	0.206651586235716	0.0860350307704767	5.93211065407222
CDBN_261_GN9_1	250.653508296731	NA	2	2012	2	NA	0.348323543723337	-0.518410259291706	NA	-1.43558356437346	0.88487575786511	0.00292285673181296	-1.27806711309404
CDBN_243_Apache	-50.5122809239224	0.341307054388529	2	2011	2.5	NA	-1.56175855222187	-5.23399206928085	NA	3.227553113892	-1.32803048999246	-0.0340475737857975	-3.36301135424957
CDBN_295_Avalanche	-8.46462947629551	-0.255705694718149	2	2008	3	NA	2.20895201178303	2.84105729507111	NA	3.73394433162645	-0.20485465798478	0.0363623509355386	0.127432082446097
CDBN_066_Bellagio	-337.971524227909	-0.123338636472688	2	2010	2	NA	-0.986236170534733	3.18097051895201	NA	-1.79610266565047	-0.832589009344404	0.0314141666578556	4.35647134470844
CDBN_269_IP08_2	-157.380384968493	-0.00940642802732464	2	2009	2	NA	1.59318823489621	2.44933762381533	NA	0.384428586974063	2.01541378111853	-0.114966453406382	0.788006214015096
